"Pathways"	"Common-Name"
KDO-NAGLIPASYN-PWY	"superpathway of (KDO)<SUB>2</SUB>-lipid A biosynthesis"
PWY-6700	"queuosine biosynthesis"
KDO-LIPASYN-PWY	"(KDO)<sub>2</sub>-lipid A biosynthesis I"
MENAQUINONESYN-PWY	"menaquinol-8 biosynthesis"
ECASYN-PWY	"enterobacterial common antigen biosynthesis"
PLPSAL-PWY	"pyridoxal 5'-phosphate salvage I"
PWY-6519	"8-amino-7-oxononanoate biosynthesis I"
PWY-6617	"adenosine nucleotides degradation III"
PWY-5755	"4-hydroxybenzoate biosynthesis II (bacteria and fungi)"
PWY0-1275	"lipoate biosynthesis and incorporation II"
PWY0-501	"lipoate biosynthesis and incorporation I"
KDOSYN-PWY	"KDO transfer to lipid IV<sub>A</sub> I"
SAM-PWY	"S-adenosyl-L-methionine biosynthesis"
CYSTSYN-PWY	"cysteine biosynthesis I"
PWY-5443	"aminopropanol phosphate biosynthesis I"
SERSYN-PWY	"serine biosynthesis"
PANTO-PWY	"phosphopantothenate biosynthesis I"
PWY-7247	"&beta;-D-glucuronide and D-glucuronate degradation"
PYRIDNUCSAL-PWY	"NAD salvage pathway I"
PWY3O-4106	"NAD salvage pathway III"
GALACTUROCAT-PWY	"D-galacturonate degradation I"
PYRIDNUCSYN-PWY	"NAD biosynthesis I (from aspartate)"
PWY-1269	"CMP-KDO biosynthesis I"
PWY0-1306	"L-galactonate degradation"
GALACTCAT-PWY	"D-galactonate degradation"
KETOGLUCONMET-PWY	"ketogluconate metabolism"
PWY-6430	"thymine degradation"
PWY0-1021	"alanine biosynthesis III"
PWY-6703	"preQ<sub>0</sub> biosynthesis"
GLYCOLATEMET-PWY	"glycolate and glyoxylate degradation I"
GALACTARDEG-PWY	"D-galactarate degradation I"
GLUCARDEG-PWY	"<i>D</i>-glucarate degradation I"
PWY0-1300	"2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation"
PWY-5705	"allantoin degradation to glyoxylate III"
PWY-5698	"allantoin degradation to ureidoglycolate II (ammonia producing)"
PWY0-1471	"uracil degradation III"
PWY-3982	"uracil degradation I (reductive)"
PWY0-41	"allantoin degradation IV (anaerobic)"
PWY0-163	"salvage pathways of pyrimidine ribonucleotides"
PWY-6556	"pyrimidine ribonucleosides salvage II"
PWY0-1295	"pyrimidine ribonucleosides degradation"
PWY-6611	"adenine and adenosine salvage V"
PWY-6618	"guanine and guanosine salvage III"
PWY-6608	"guanosine nucleotides degradation III"
PWY-6605	"adenine and adenosine salvage II"
PWY0-1296	"purine ribonucleosides degradation"
PWY-6609	"adenine and adenosine salvage III"
SALVADEHYPOX-PWY	"adenosine nucleotides degradation II"
PWY0-181	"salvage pathways of pyrimidine deoxyribonucleotides"
PWY-7181	"pyrimidine deoxyribonucleosides degradation"
NAGLIPASYN-PWY	"lipid IV<sub>A</sub> biosynthesis"
PWY-6123	"inosine-5'-phosphate biosynthesis I"
TRYPDEG-PWY	"tryptophan degradation II (via pyruvate)"
TRPSYN-PWY	"tryptophan biosynthesis"
PANTOSYN-PWY	"pantothenate and coenzyme A biosynthesis I"
PWY0-1337	"oleate &beta;-oxidation"
COA-PWY	"coenzyme A biosynthesis"
PWY-4381	"fatty acid biosynthesis initiation I"
PWY0-1264	"biotin-carboxyl carrier protein assembly"
PWY-7315	"dTDP-<i>N</i>-acetylthomosamine biosynthesis"
PWY-6612	"superpathway of tetrahydrofolate biosynthesis"
PWY0-1324	"<i>N</i>-acetylneuraminate and <i>N</i>-acetylmannosamine degradation"
GLYOXYLATE-BYPASS	"glyoxylate cycle"
GLYOXDEG-PWY	"glycolate and glyoxylate degradation II"
PWY-5485	"pyruvate fermentation to acetate IV"
PWY-5480	"pyruvate fermentation to ethanol I"
FERMENTATION-PWY	"mixed acid fermentation"
ANARESP1-PWY	"respiration (anaerobic)"
FAO-PWY	"fatty acid &beta;-oxidation I"
PWY-5667	"CDP-diacylglycerol biosynthesis I"
PWY-5084	"2-oxoglutarate decarboxylation to succinyl-CoA"
PYRUVDEHYD-PWY	"pyruvate decarboxylation to acetyl CoA"
PWY-5794	"malonate degradation I (biotin-independent)"
PWY-5148	"acyl-CoA hydrolysis"
PWY-5837	"1,4-dihydroxy-2-naphthoate biosynthesis I"
FASYN-INITIAL-PWY	"superpathway of fatty acid biosynthesis initiation (E. coli)"
PWY-5966	"fatty acid biosynthesis initiation II"
PWY0-1313	"acetate conversion to acetyl-CoA"
TCA	"TCA cycle I (prokaryotic)"
PWY0-522	"lipoate salvage I"
AMMASSIM-PWY	"ammonia assimilation cycle III"
PWY-6823	"molybdenum cofactor biosynthesis"
PWY-6147	"6-hydroxymethyl-dihydropterin diphosphate biosynthesis I"
GLCMANNANAUT-PWY	"superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation"
PWY0-1433	"tetrahydromonapterin biosynthesis"
PWY-6614	"tetrahydrofolate biosynthesis"
P4-PWY	"superpathway of lysine, threonine and methionine biosynthesis I"
1CMET2-PWY	"formylTHF biosynthesis"
PWY0-166	"superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (E. coli)"
PWY-6579	"superpathway of guanine and guanosine salvage"
PWY-7187	"pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis II"
PWY-7184	"pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis I"
PWY0-881	"superpathway of fatty acid biosynthesis I (E. coli)"
GLYCOL-GLYOXDEG-PWY	"superpathway of glycol metabolism and degradation"
GLYCLEAV-PWY	"glycine cleavage"
GLYSYN-PWY	"glycine biosynthesis I"
PWY-6629	"superpathway of tryptophan biosynthesis"
PWY-5973	"<i>cis</i>-vaccenate biosynthesis"
SULFATE-CYS-PWY	"superpathway of sulfate assimilation and cysteine biosynthesis"
BIOTIN-BIOSYNTHESIS-PWY	"biotin biosynthesis I"
THIOREDOX-PWY	"thioredoxin pathway"
HEXITOLDEGSUPER-PWY	"superpathway of hexitol degradation (bacteria)"
PWY-5964	"guanylyl molybdenum cofactor biosynthesis"
PWY-6476	"cytidylyl molybdenum cofactor biosynthesis"
POLYISOPRENSYN-PWY	"polyisoprenoid biosynthesis (<i>E. coli</i>)"
PWY0-1319	"CDP-diacylglycerol biosynthesis II"
PWY0-1297	"superpathway of purine deoxyribonucleosides degradation"
GLYCOLYSIS	"glycolysis I (from glucose-6P)"
PWY-5484	"glycolysis II (from fructose-6P)"
THREOCAT-PWY	"superpathway of threonine metabolism"
GLUCONEO-PWY	"gluconeogenesis I"
LPSSYN-PWY	"superpathway of lipopolysaccharide biosynthesis"
METSYN-PWY	"homoserine and methionine biosynthesis"
PWY-6126	"superpathway of adenosine nucleotides <i>de novo</i> biosynthesis II"
PWY0-1479	"tRNA processing"
PWY0-1544	"proline to cytochrome <i>bo</i> oxidase electron transfer"
PWY0-381	"glycerol and glycerophosphodiester degradation"
PWY0-42	"2-methylcitrate cycle I"
PWY0-43	"conversion of succinate to propionate"
ALL-CHORISMATE-PWY	"superpathway of chorismate metabolism"
GLYCEROLMETAB-PWY	"glycerol degradation V"
GALACT-GLUCUROCAT-PWY	"superpathway of hexuronide and hexuronate degradation"
PWY-5668	"cardiolipin biosynthesis I"
PWY-6284	"superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>)"
PWY0-845	"superpathway of pyridoxal 5'-phosphate biosynthesis and salvage"
ARGDEG-PWY	"superpathway of arginine, putrescine, and 4-aminobutyrate degradation"
PWY0-862	"<i>cis</i>-dodecenoyl biosynthesis"
GLUCUROCAT-PWY	"superpathway of &beta;-D-glucuronide and D-glucuronate degradation"
GLYCOGENSYNTH-PWY	"glycogen biosynthesis I (from ADP-D-Glucose)"
PENTOSE-P-PWY	"pentose phosphate pathway"
PWY0-1241	"ADP-L-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose biosynthesis"
PWY-6892	"thiazole biosynthesis I (E. coli)"
PWY-6628	"superpathway of phenylalanine biosynthesis"
POLYAMSYN-PWY	"superpathway of polyamine biosynthesis I"
GLYCOCAT-PWY	"glycogen degradation I"
PWY0-1277	"3-phenylpropionate and 3-(3-hydroxyphenyl)propionate degradation"
THISYN-PWY	"superpathway of thiamin diphosphate biosynthesis I"
PWY0-1325	"superpathway of asparagine biosynthesis"
PWY-5437	"threonine degradation I"
SORBDEG-PWY	"D-sorbitol degradation II"
MANNCAT-PWY	"D-mannose degradation"
UBISYN-PWY	"superpathway of ubiquinol-8 biosynthesis (prokaryotic)"
PWY-5659	"GDP-mannose biosynthesis"
DENOVOPURINE2-PWY	"superpathway of purine nucleotides <i>de novo</i> biosynthesis II"
ACETOACETATE-DEG-PWY	"acetoacetate degradation (to acetyl CoA)"
PWY-7343	"UDP-glucose biosynthesis"
GLUCOSE1PMETAB-PWY	"glucose and glucose-1-phosphate degradation"
METHGLYUT-PWY	"superpathway of methylglyoxal degradation"
TRESYN-PWY	"trehalose biosynthesis I"
PWY-6125	"superpathway of guanosine nucleotides <i>de novo</i> biosynthesis II"
PWY0-1545	"cardiolipin biosynthesis III"
ACETATEUTIL-PWY	"superpathway of acetate utilization and formation"
PWY-4261	"glycerol degradation I"
PWY-6952	"glycerophosphodiester degradation"
FUC-RHAMCAT-PWY	"superpathway of fucose and rhamnose degradation"
PWY-5350	"thiosulfate disproportionation III (rhodanese)"
GLUT-REDOX-PWY	"glutathione redox reactions II"
ORNARGDEG-PWY	"superpathway of arginine and ornithine degradation"
PWY-4121	"glutathionylspermidine biosynthesis"
PWY0-781	"aspartate superpathway"
PWY-5386	"methylglyoxal degradation I"
PWY-1801	"formaldehyde oxidation II (glutathione-dependent)"
ARG+POLYAMINE-SYN	"superpathway of arginine and polyamine biosynthesis"
PWYCQD-3	"N-acetyl-galactosamine degradation"
GLUCARGALACTSUPER-PWY	"superpathway of D-glucarate and D-galactarate degradation"
SER-GLYSYN-PWY	"superpathway of serine and glycine biosynthesis I"
DETOX1-PWY	"superoxide radicals degradation"
PWY0-1280	"ethylene glycol degradation"
ARO-PWY	"chorismate biosynthesis I"
2PHENDEG-PWY	"phenylethylamine degradation I"
PWY0-1315	"L-lactaldehyde degradation (anaerobic)"
PWY0-1317	"L-lactaldehyde degradation (aerobic)"
PHOSLIPSYN-PWY	"phospholipid biosynthesis I"
PWY-6772	"hydrogen production V"
PWY0-1061	"superpathway of alanine biosynthesis"
PWY-901	"methylglyoxal degradation II"
TCA-GLYOX-BYPASS	"superpathway of glyoxylate bypass and TCA"
ETOH-ACETYLCOA-ANA-PWY	"ethanol degradation I"
PWY-6028	"acetoin degradation"
BRANCHED-CHAIN-AA-SYN-PWY	"superpathway of leucine, valine, and isoleucine biosynthesis"
PWY-5162	"2-oxopentenoate degradation"
PWY-5436	"threonine degradation IV"
PRPP-PWY	"superpathway of histidine, purine, and pyrimidine biosynthesis"
PWY0-1477	"ethanolamine utilization"
PWY-7180	"2'-deoxy-&alpha;-D-ribose 1-phosphate degradation"
PWY0-1298	"superpathway of pyrimidine deoxyribonucleosides degradation"
DARABCAT-PWY	"D-arabinose degradation II"
XYLCAT-PWY	"xylose degradation I"
THRESYN-PWY	"threonine biosynthesis"
P2-PWY	"citrate lyase activation"
COMPLETE-ARO-PWY	"superpathway of phenylalanine, tyrosine, and tryptophan biosynthesis"
ARABCAT-PWY	"L-arabinose degradation I"
NONMEVIPP-PWY	"methylerythritol phosphate pathway"
MET-SAM-PWY	"superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis"
LYXMET-PWY	"L-lyxose degradation"
PWYCQD-4	"galactosamine degradation"
PWY-5838	"superpathway of menaquinol-8 biosynthesis I"
PWY-7242	"D-fructuronate degradation"
ENTNER-DOUDOROFF-PWY	"Entner-Doudoroff pathway I"
PWY0-162	"superpathway of pyrimidine ribonucleotides <i>de novo</i> biosynthesis"
PWY-6012	"acyl carrier protein metabolism I"
4AMINOBUTMETAB-PWY	"superpathway of 4-aminobutyrate degradation"
SO4ASSIM-PWY	"sulfate reduction I (assimilatory)"
PWY-6163	"chorismate biosynthesis from 3-dehydroquinate"
PWY-6164	"3-dehydroquinate biosynthesis I"
PWY0-1534	"hydrogen sulfide biosynthesis I"
PWY-5785	"di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis"
PWY-5783	"octaprenyl diphosphate biosynthesis"
PWY-5123	"<i>trans, trans</i>-farnesyl diphosphate biosynthesis"
PWY-6543	"4-aminobenzoate biosynthesis"
PWY-6535	"4-aminobutyrate degradation"
PWY-6537	"4-aminobutyrate degradation II"
PWY-7446	"sulfoglycolysis"
PWY0-901	"selenocysteine biosynthesis I (bacteria)"
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	"4-hydroxyphenylacetate degradation"
TREDEGLOW-PWY	"trehalose degradation I (low osmolarity)"
PYRIDOXSYN-PWY	"pyridoxal 5'-phosphate biosynthesis I"
IDNCAT-PWY	"L-idonate degradation"
OXIDATIVEPENT-PWY	"pentose phosphate pathway (oxidative branch) I"
GLYCOLYSIS-E-D	"superpathway of glycolysis and Entner-Doudoroff"
SALVPURINE2-PWY	"xanthine and xanthosine salvage"
PWY-6620	"guanine and guanosine salvage"
PWY0-661	"PRPP biosynthesis II"
PWY0-662	"PRPP biosynthesis I"
BSUBPOLYAMSYN-PWY	"spermidine biosynthesis I"
PWY0-1303	"aminopropylcadaverine biosynthesis"
RHAMCAT-PWY	"L-rhamnose degradation I"
PWY-6277	"superpathway of 5-aminoimidazole ribonucleotide biosynthesis"
PWY-6122	"5-aminoimidazole ribonucleotide biosynthesis II"
PWY-6121	"5-aminoimidazole ribonucleotide biosynthesis I"
PWY0-1309	"chitobiose degradation"
PWY0-1517	"sedoheptulose bisphosphate bypass"
PWY-5453	"methylglyoxal degradation III"
