"Pathways"	"Reactions of pathway"
LPSSYN-PWY	RXN0-5127 // RXN0-5126 // RXN0-5125 // RXN0-5124 // RXN0-5123 // RXN0-5122 // RXN0-5121 // RXN0-5120 // RXN0-5061 // RXN0-5118 // MYRISTOYLACYLTRAN-RXN // LAUROYLACYLTRAN-RXN // KDOTRANS2-RXN // KDOTRANS-RXN // DARAB5PISOM-RXN // KDO-8PSYNTH-RXN // KDO-8PPHOSPHAT-RXN // CPM-KDOSYNTH-RXN // UDPNACETYLGLUCOSAMACYLTRANS-RXN // UDPACYLGLCNACDEACETYL-RXN // UDPHYDROXYMYRGLUCOSAMNACETYLTRANS-RXN // LIPIDXSYNTHESIS-RXN // TETRAACYLDISACC4KIN-RXN // LIPIDADISACCHARIDESYNTH-RXN
PWY0-1264	RXN0-5055 // BIOTIN-CARBOXYL-RXN // RXN-7101 // BIOTINLIG-RXN
LIPA-CORESYN-PWY	RXN0-5127 // RXN0-5126 // RXN0-5125 // RXN0-5124 // RXN0-5123 // RXN0-5122 // RXN0-5121 // RXN0-5120 // RXN0-5061 // RXN0-5118
PWY-5148	THIOESTER-RXN
PWY-6519	RXN-11484 // RXN-11474 // RXN-11475 // RXN-11476 // RXN-11477 // RXN-11478 // RXN-11479 // RXN-11480 // RXN-11481 // RXN-11482 // RXN-11483
PWY0-1221	RXN0-3901 // RXN0-3921 // RXN0-3922 // RXN0-3942
PUTDEG-PWY	PUTTRANSAM-RXN // AMINOBUTDEHYDROG-RXN
PWY-7247	RXN-14693 // BETA-GLUCURONID-RXN // GLUCUROISOM-RXN
GLUCUROCAT-PWY	RXN-14693 // BETA-GLUCURONID-RXN // GLUCUROISOM-RXN // KDPGALDOL-RXN // DEOXYGLUCONOKIN-RXN // MANNONDEHYDRAT-RXN // MANNONOXIDOREDUCT-RXN
FASYN-ELONG-PWY	3-OXOACYL-ACP-SYNTH-RXN // 3-OXOACYL-ACP-REDUCT-RXN // ENOYL-ACP-REDUCT-NADH-RXN // ENOYL-ACP-REDUCT-NADPH-RXN // 3-HYDROXYDECANOYL-ACP-DEHYDR-RXN
LEUSYN-PWY	RXN-8991 // RXN-7800 // 2-ISOPROPYLMALATESYN-RXN // 3-ISOPROPYLMALISOM-RXN // BRANCHED-CHAINAMINOTRANSFERLEU-RXN // 3-ISOPROPYLMALDEHYDROG-RXN
FASYN-INITIAL-PWY	MALONYL-ACPDECARBOX-RXN // 2.3.1.180-RXN // MALONYL-COA-ACP-TRANSACYL-RXN // ACETYL-COA-CARBOXYLTRANSFER-RXN // ACP-S-ACETYLTRANSFER-RXN // 3-OXOACYL-ACP-SYNTH-BASE-RXN
PWY-5965	MALONYL-ACPDECARBOX-RXN // 3-OXOACYL-ACP-SYNTH-BASE-RXN
DENOVOPURINE2-PWY	RXN0-745 // DADPKIN-RXN // RXN0-747 // ADPREDUCT-RXN // ATPSYN-RXN // ADENYL-KIN-RXN // AMPSYN-RXN // ADENYLOSUCCINATE-SYNTHASE-RXN // DGDPKIN-RXN // RXN0-748 // RXN0-746 // GDPREDUCT-RXN // GDPKIN-RXN // GUANYL-KIN-RXN // GMP-SYN-GLUT-RXN // IMP-DEHYDROG-RXN // RXN0-742 // RXN0-743 // IMPCYCLOHYDROLASE-RXN // AICARTRANSFORM-RXN // AICARSYN-RXN // SAICARSYN-RXN // GARTRANSFORMYL2-RXN // AIRS-RXN // FGAMSYN-RXN // GLYRIBONUCSYN-RXN // PRPPAMIDOTRANS-RXN
PWY-5966	ACP-S-ACETYLTRANSFER-RXN // 3-OXOACYL-ACP-SYNTH-BASE-RXN
PWY-6126	RXN0-745 // DADPKIN-RXN // RXN0-747 // ADPREDUCT-RXN // ATPSYN-RXN // ADENYL-KIN-RXN // AMPSYN-RXN // ADENYLOSUCCINATE-SYNTHASE-RXN
PWY0-881	3-OXOACYL-ACP-SYNTH-RXN // 3-OXOACYL-ACP-REDUCT-RXN // ENOYL-ACP-REDUCT-NADH-RXN // ENOYL-ACP-REDUCT-NADPH-RXN // 3-HYDROXYDECANOYL-ACP-DEHYDR-RXN // MALONYL-ACPDECARBOX-RXN // 2.3.1.180-RXN // MALONYL-COA-ACP-TRANSACYL-RXN // ACETYL-COA-CARBOXYLTRANSFER-RXN // ACP-S-ACETYLTRANSFER-RXN // 3-OXOACYL-ACP-SYNTH-BASE-RXN // RXN-9655 // 5.3.3.14-RXN // RXN0-2141 // RXN0-2142 // RXN0-2144 // RXN0-2145
PWY-6125	DGDPKIN-RXN // RXN0-748 // RXN0-746 // GDPREDUCT-RXN // GDPKIN-RXN // GUANYL-KIN-RXN // GMP-SYN-GLUT-RXN // IMP-DEHYDROG-RXN
PWY-7220	RXN0-745 // DADPKIN-RXN // RXN0-747 // ADPREDUCT-RXN
PWY-5686	RXN0-6491 // OROTPDECARB-RXN // OROPRIBTRANS-RXN // DIHYDROOROT-RXN // ASPCARBTRANS-RXN // CARBPSYN-RXN
TRNA-CHARGING-PWY	GLYCINE--TRNA-LIGASE-RXN // HISTIDINE--TRNA-LIGASE-RXN // LYSINE--TRNA-LIGASE-RXN // METHIONINE--TRNA-LIGASE-RXN // PHENYLALANINE--TRNA-LIGASE-RXN // PROLINE--TRNA-LIGASE-RXN // SERINE--TRNA-LIGASE-RXN // THREONINE--TRNA-LIGASE-RXN // TRYPTOPHAN--TRNA-LIGASE-RXN // TYROSINE--TRNA-LIGASE-RXN // ASPARTATE--TRNA-LIGASE-RXN // ASPARAGINE--TRNA-LIGASE-RXN // ALANINE--TRNA-LIGASE-RXN // VALINE--TRNA-LIGASE-RXN // LEUCINE--TRNA-LIGASE-RXN // ISOLEUCINE--TRNA-LIGASE-RXN // GLURS-RXN // GLUTAMINE--TRNA-LIGASE-RXN // CYSTEINE--TRNA-LIGASE-RXN // ARGININE--TRNA-LIGASE-RXN
PWY-5973	RXN-9558 // RXN-9557 // RXN-9556 // 2.3.1.179-RXN // RXN-9555
PWY-6284	RXN-9558 // RXN-9557 // RXN-9556 // 2.3.1.179-RXN // RXN-9555 // RXN-9550 // RXN-10654 // RXN-10655 // RXN-10656 // RXN-10657 // RXN-10658 // RXN-10659 // RXN-10660 // RXN-10661 // RXN-9655 // 5.3.3.14-RXN // RXN0-2141 // RXN0-2142 // RXN0-2144 // RXN0-2145
HOMOSERSYN-PWY	HOMOSERDEHYDROG-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN
PWY0-862	RXN-9655 // 5.3.3.14-RXN // RXN0-2141 // RXN0-2142 // RXN0-2144 // RXN0-2145
PWY-4261	RXN0-5260 // GLYCEROL-KIN-RXN
PWY-5155	ASPDECARBOX-RXN
PWY-3982	BETA-UREIDOPROPIONASE-RXN // DIHYDROPYRIMIDINASE-RXN // 1.3.1.2-RXN
PWY-7219	ATPSYN-RXN // ADENYL-KIN-RXN // AMPSYN-RXN // ADENYLOSUCCINATE-SYNTHASE-RXN
PWY-7221	GDPKIN-RXN // GUANYL-KIN-RXN // GMP-SYN-GLUT-RXN // IMP-DEHYDROG-RXN
PWY-6708	4OHBENZOATE-OCTAPRENYLTRANSFER-RXN // 3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN // 2-OCTAPRENYLPHENOL-HYDROX-RXN // 2-OCTAPRENYL-6-OHPHENOL-METHY-RXN // 2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN // 2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN // DHHB-METHYLTRANSFER-RXN // OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN
PWY-6123	RXN0-742 // RXN0-743 // IMPCYCLOHYDROLASE-RXN // AICARTRANSFORM-RXN // AICARSYN-RXN // SAICARSYN-RXN
GLUTDEG-PWY	ASPARTASE-RXN // ASPAMINOTRANS-RXN
PWY0-1241	RXN0-4301 // 5.1.3.20-RXN // RXN0-4361 // RXN0-4342 // RXN0-4341
TYRSYN	TYROSINE-AMINOTRANSFERASE-RXN // CHORISMATEMUT-RXN // PREPHENATEDEHYDROG-RXN
PWY-6282	RXN-9550 // RXN-10654 // RXN-10655 // RXN-10656 // RXN-10657 // RXN-10658 // RXN-10659 // RXN-10660 // RXN-10661
NONMEVIPP-PWY	IPPISOM-RXN // 2.7.7.60-RXN // 2.7.1.148-RXN // ISPH2-RXN // RXN0-884 // RXN0-882 // RXN0-302 // DXPREDISOM-RXN // DXS-RXN
PWY-5669	PHOSPHASERDECARB-RXN // PHOSPHASERSYN-RXN
PWY-6151	HOMOCYSMET-RXN // RXN-7605 // S-ADENMETSYN-RXN // RIBOSYLHOMOCYSTEINASE-RXN // ADENOSYLHOMOCYSTEINE-NUCLEOSIDASE-RXN
PWY0-1298	ACETALD-DEHYDROG-RXN // DEOXYRIBOSE-P-ALD-RXN // D-PPENTOMUT-RXN // THYM-PHOSPH-RXN // URA-PHOSPH-RXN // CYTIDEAM-RXN
UDPNAGSYN-PWY	PGLUCISOM-RXN // 5.4.2.10-RXN // L-GLN-FRUCT-6-P-AMINOTRANS-RXN // 2.3.1.157-RXN // NAG1P-URIDYLTRANS-RXN
VALSYN-PWY	ACETOLACTSYN-RXN // ACETOLACTREDUCTOISOM-RXN // BRANCHED-CHAINAMINOTRANSFERVAL-RXN // DIHYDROXYISOVALDEHYDRAT-RXN
DARABCAT-PWY	DARABISOM-RXN // D-RIBULOKIN-RXN
PWY0-662	PRPPSYN-RXN
PWY0-1471	RXN0-6461 // RXN0-6460 // RXN-8974 // RXN0-6452 // RXN0-5222 // RXN0-6444
GLYCOLYSIS-E-D	6PGLUCONOLACT-RXN // GLU6PDEHYDROG-RXN // RXN-15513 // F16BDEPHOS-RXN // PEPSYNTH-RXN // PGLUCISOM-RXN // 6PFRUCTPHOS-RXN // F16ALDOLASE-RXN // TRIOSEPISOMERIZATION-RXN // GAPOXNPHOSPHN-RXN // PHOSGLYPHOS-RXN // 3PGAREARR-RXN // 2PGADEHYDRAT-RXN // PEPDEPHOS-RXN // PGLUCONDEHYDRAT-RXN // KDPGALDOL-RXN
PWY0-661	RXN0-1401 // PPENTOMUT-RXN // RXN0-1402
PWY0-1517	SEDOBISALDOL-RXN // RXN0-6541
HISTSYN-PWY	ATPPHOSPHORIBOSYLTRANS-RXN // HISTCYCLOHYD-RXN // HISTPRATPHYD-RXN // PRIBFAICARPISOM-RXN // GLUTAMIDOTRANS-RXN // IMIDPHOSDEHYD-RXN // HISTAMINOTRANS-RXN // HISTIDPHOS-RXN // HISTOLDEHYD-RXN // HISTALDEHYD-RXN
GLYOXYLATE-BYPASS	ACONITATEDEHYDR-RXN // CITSYN-RXN // ACONITATEHYDR-RXN // ISOCIT-CLEAV-RXN // MALSYN-RXN // MALATE-DEH-RXN
MENAQUINONESYN-PWY	ADOMET-DMK-METHYLTRANSFER-RXN
GLYCOLYSIS-TCA-GLYOX-BYPASS	PYRUVDEH-RXN // RXN-15513 // F16BDEPHOS-RXN // PEPSYNTH-RXN // PGLUCISOM-RXN // 6PFRUCTPHOS-RXN // F16ALDOLASE-RXN // TRIOSEPISOMERIZATION-RXN // GAPOXNPHOSPHN-RXN // PHOSGLYPHOS-RXN // 3PGAREARR-RXN // 2PGADEHYDRAT-RXN // PEPDEPHOS-RXN // MALATE-DEHYDROGENASE-ACCEPTOR-RXN // SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN // ISOCITDEH-RXN // 2OXOGLUTARATEDEH-RXN // SUCCCOASYN-RXN // FUMHYDR-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // ACONITATEHYDR-RXN // ISOCIT-CLEAV-RXN // MALSYN-RXN // MALATE-DEH-RXN
GLUCONEO-PWY	1.1.1.39-RXN // TRIOSEPISOMERIZATION-RXN // MALIC-NADP-RXN // PEPSYNTH-RXN // MALATE-DEH-RXN // PEPCARBOXYKIN-RXN // 2PGADEHYDRAT-RXN // 3PGAREARR-RXN // PHOSGLYPHOS-RXN // GAPOXNPHOSPHN-RXN // F16ALDOLASE-RXN // F16BDEPHOS-RXN // PGLUCISOM-RXN
PWY-5838	DMK-RXN // ADOMET-DMK-METHYLTRANSFER-RXN // RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // 2.5.1.64-RXN // ISOCHORSYN-RXN // O-SUCCINYLBENZOATE-COA-SYN-RXN // O-SUCCINYLBENZOATE-COA-LIG-RXN // RXN-8992
ASPARTATESYN-PWY	ASPAMINOTRANS-RXN
PPGPPMET-PWY	GDPKIN-RXN // RXN0-6427 // GDPPYPHOSKIN-RXN // GTPPYPHOSKIN-RXN // PPGPPSYN-RXN // PPPGPPHYDRO-RXN
ETOH-ACETYLCOA-ANA-PWY	ACETALD-DEHYDROG-RXN // ALCOHOL-DEHYDROG-RXN
OXIDATIVEPENT-PWY	RXN-9952 // GLU6PDEHYDROG-RXN // 6PGLUCONDEHYDROG-RXN // 6PGLUCONOLACT-RXN
GLUCARGALACTSUPER-PWY	GALACTARDEHYDRA-RXN // GKI-RXN // GLUCARDEHYDRA-RXN // TSA-REDUCT-RXN // KDGALDOL-RXN
NONOXIPENT-PWY	RIB5PISOM-RXN // RIBULP3EPIM-RXN // 1TRANSKETO-RXN // 2TRANSKETO-RXN // TRANSALDOL-RXN
TCA-GLYOX-BYPASS	MALATE-DEHYDROGENASE-ACCEPTOR-RXN // SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN // ISOCITDEH-RXN // 2OXOGLUTARATEDEH-RXN // SUCCCOASYN-RXN // FUMHYDR-RXN // ACONITATEDEHYDR-RXN // CITSYN-RXN // ACONITATEHYDR-RXN // ISOCIT-CLEAV-RXN // MALSYN-RXN // MALATE-DEH-RXN
PWY0-301	RXN0-5214 // RIBULPEPIM-RXN // RXN0-705 // LXULRU5P-RXN
PENTOSE-P-PWY	RXN-9952 // GLU6PDEHYDROG-RXN // 6PGLUCONDEHYDROG-RXN // 6PGLUCONOLACT-RXN // RIB5PISOM-RXN // RIBULP3EPIM-RXN // 1TRANSKETO-RXN // 2TRANSKETO-RXN // TRANSALDOL-RXN
PWY0-1329	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN // RXN0-5268
PRPP-PWY	RXN0-1401 // PPENTOMUT-RXN // RXN0-1402 // PRPPSYN-RXN // CTPSYN-RXN // UDPKIN-RXN // RXN-12002 // RXN0-6491 // OROTPDECARB-RXN // OROPRIBTRANS-RXN // DIHYDROOROT-RXN // ASPCARBTRANS-RXN // CARBPSYN-RXN // RXN0-745 // DADPKIN-RXN // RXN0-747 // ADPREDUCT-RXN // ATPSYN-RXN // ADENYL-KIN-RXN // AMPSYN-RXN // ADENYLOSUCCINATE-SYNTHASE-RXN // DGDPKIN-RXN // RXN0-748 // RXN0-746 // GDPREDUCT-RXN // GDPKIN-RXN // GUANYL-KIN-RXN // GMP-SYN-GLUT-RXN // IMP-DEHYDROG-RXN // RXN0-742 // RXN0-743 // IMPCYCLOHYDROLASE-RXN // AICARTRANSFORM-RXN // AICARSYN-RXN // SAICARSYN-RXN // GARTRANSFORMYL2-RXN // AIRS-RXN // FGAMSYN-RXN // GLYRIBONUCSYN-RXN // PRPPAMIDOTRANS-RXN // ATPPHOSPHORIBOSYLTRANS-RXN // HISTCYCLOHYD-RXN // HISTPRATPHYD-RXN // PRIBFAICARPISOM-RXN // GLUTAMIDOTRANS-RXN // IMIDPHOSDEHYD-RXN // HISTAMINOTRANS-RXN // HISTIDPHOS-RXN // HISTOLDEHYD-RXN // HISTALDEHYD-RXN
PWY0-1334	RXN0-5266 // NADH-DEHYDROG-A-RXN
PWY-6961	RIBULPEPIM-RXN // LXULRU5P-RXN // RXN0-705 // RXN0-703 // RXN0-704 // RXN-12862 // RXN-12440 // RXN-12861
PWY0-1335	RXN0-5268 // NADH-DEHYDROG-A-RXN
THRESYN-PWY	ASPAMINOTRANS-RXN // THRESYN-RXN // HOMOSERKIN-RXN // HOMOSERDEHYDROG-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN
PWY0-1353	RXN0-5266 // SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
HISTDEG-PWY	IMILACTDEHYDROG-RXN // HISTTRANSAM-RXN
PWY0-1544	RXN0-7008 // RXN0-5268
MET-SAM-PWY	S-ADENMETSYN-RXN // HOMOSERDEHYDROG-RXN // ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN // ASPARTATEKIN-RXN // RXN-15131 // O-SUCCHOMOSERLYASE-RXN // HOMOCYSMETB12-RXN // HOMOCYSMET-RXN // HOMSUCTRAN-RXN
PWY-46	ORNDECARBOX-RXN
TRYPDEG-PWY	TRYPTOPHAN-RXN
1CMET2-PWY	5-FORMYL-THF-CYCLO-LIGASE-RXN // DIHYDROFOLATESYNTH-RXN // THYMIDYLATESYN-RXN // HOMOCYSMETB12-RXN // 1.5.1.20-RXN // GCVMULTI-RXN // METHYLENETHFDEHYDROG-NADP-RXN // GLYOHMETRANS-RXN // DIHYDROFOLATEREDUCT-RXN // FORMYLTHFDEFORMYL-RXN // METHENYLTHFCYCLOHYDRO-RXN
PWY-6629	RXN0-2381 // RXN0-2382 // ANTHRANSYN-RXN // PRTRANS-RXN // PRAISOM-RXN // IGPSYN-RXN // RXN-7968 // 3-DEHYDROQUINATE-DEHYDRATASE-RXN // SHIKIMATE-5-DEHYDROGENASE-RXN // SHIKIMATE-KINASE-RXN // 2.5.1.19-RXN // CHORISMATE-SYNTHASE-RXN // DAHPSYN-RXN // 3-DEHYDROQUINATE-SYNTHASE-RXN
POLYISOPRENSYN-PWY	RXN-8992 // RXN-8999 // IPPISOM-RXN // FPPSYN-RXN // GPPSYN-RXN
PWY-5785	RXN-8999
THREOCAT-PWY	4.1.1.81-RXN // RXN-8626 // ACETOOHBUTSYN-RXN // ACETOOHBUTREDUCTOISOM-RXN // BRANCHED-CHAINAMINOTRANSFERILEU-RXN // DIHYDROXYMETVALDEHYDRAT-RXN // RXN-15121 // RXN-15123 // RXN-15122 // PROPKIN-RXN // PTAALT-RXN // KETOBUTFORMLY-RXN // AKBLIG-RXN // AMACETOXID-RXN // THREOSPON-RXN // THREODEHYD-RXN // ACETALD-DEHYDROG-RXN // THREONINE-ALDOLASE-RXN
PWY-5783	RXN-8992
PWY-40	AGMATIN-RXN // ARGDECARBOX-RXN
PWY-5123	IPPISOM-RXN // FPPSYN-RXN // GPPSYN-RXN
ALL-CHORISMATE-PWY	ADCLY-RXN // PABASYN-RXN // GTP-CYCLOHYDRO-I-RXN // H2NEOPTERINP3PYROPHOSPHOHYDRO-RXN // DIHYDRONEOPTERIN-MONO-P-DEPHOS-RXN // H2NEOPTERINALDOL-RXN // H2PTERIDINEPYROPHOSPHOKIN-RXN // DIHYDROFOLATEREDUCT-RXN // DIHYDROFOLATESYNTH-RXN // H2PTEROATESYNTH-RXN // ADOMET-DMK-METHYLTRANSFER-RXN // DMK-RXN // RXN-9311 // NAPHTHOATE-SYN-RXN // RXN-9310 // 2.5.1.64-RXN // O-SUCCINYLBENZOATE-COA-SYN-RXN // O-SUCCINYLBENZOATE-COA-LIG-RXN // DHBDEHYD-RXN // ISOCHORMAT-RXN // ISOCHORSYN-RXN // TYROSINE-AMINOTRANSFERASE-RXN // PREPHENATEDEHYDROG-RXN // CHORISMATEMUT-RXN // PREPHENATEDEHYDRAT-RXN // PHEAMINOTRANS-RXN // RXN0-2381 // RXN0-2382 // ANTHRANSYN-RXN // PRTRANS-RXN // PRAISOM-RXN // IGPSYN-RXN // RXN-7968 // 3-DEHYDROQUINATE-DEHYDRATASE-RXN // SHIKIMATE-5-DEHYDROGENASE-RXN // SHIKIMATE-KINASE-RXN // 2.5.1.19-RXN // CHORISMATE-SYNTHASE-RXN // DAHPSYN-RXN // 3-DEHYDROQUINATE-SYNTHASE-RXN // RXN-8992 // 4OHBENZOATE-OCTAPRENYLTRANSFER-RXN // 3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN // 2-OCTAPRENYLPHENOL-HYDROX-RXN // 2-OCTAPRENYL-6-OHPHENOL-METHY-RXN // 2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN // 2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN // DHHB-METHYLTRANSFER-RXN // OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN // CHORPYRLY-RXN
PEPTIDOGLYCANSYN-PWY	DALADALALIG-RXN // UDP-NACMURALGLDAPLIG-RXN // GLUTRACE-RXN // UDP-NACMURALA-GLU-LIG-RXN // UDP-NACMUR-ALA-LIG-RXN // UDP-NACMURALGLDAPAALIG-RXN // UDPNACETYLMURAMATEDEHYDROG-RXN // UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN // RXN-11302 // RXN-14712 // RXN0-5405 // PHOSNACMURPENTATRANS-RXN // NACGLCTRANS-RXN
GALACT-GLUCUROCAT-PWY	RXN-14693 // BETA-GLUCURONID-RXN // GLUCUROISOM-RXN // KDPGALDOL-RXN // MANNONDEHYDRAT-RXN // MANNONOXIDOREDUCT-RXN // GALACTUROISOM-RXN // ALTRO-OXIDOREDUCT-RXN // DEOXYGLUCONOKIN-RXN // ALTRODEHYDRAT-RXN
UBISYN-PWY	RXN-8992 // 4OHBENZOATE-OCTAPRENYLTRANSFER-RXN // 3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN // 2-OCTAPRENYLPHENOL-HYDROX-RXN // 2-OCTAPRENYL-6-OHPHENOL-METHY-RXN // 2-OCTAPRENYL-6-METHOXYPHENOL-HYDROX-RXN // 2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN // DHHB-METHYLTRANSFER-RXN // OCTAPRENYL-METHYL-METHOXY-BENZOQ-OH-RXN // CHORPYRLY-RXN
